City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
374,Gorontalo,ID,74.7,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
376,Acapulco,MX,86.72,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
380,Ust-Nera,RU,71.53,overcast clouds,64.5667,143.2,Hotel Ust-Nera
384,Sola,VU,74.07,scattered clouds,-13.8833,167.55,Leumerus Bungalows
385,Naze,JP,79.72,broken clouds,28.3667,129.4833,Shishime Hotel
386,Tamandare,BR,78.4,clear sky,-8.7597,-35.1047,Pousada 100 Passos
389,Kamyshin,RU,67.42,clear sky,50.0983,45.416,Guest House Aviator
392,Padang,ID,78.08,overcast clouds,-0.9492,100.3543,Mercure Padang
394,Meteti,PA,84.36,broken clouds,8.4983,-77.9786,Txai Mauá
395,Sao Jose Da Coroa Grande,BR,77.97,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
396,Poum,NC,71.74,clear sky,-20.2333,164.0167,
397,Bac Lieu,VN,78.46,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
399,Bengkulu,ID,75.9,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
400,Salalah,OM,78.82,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
401,Fort Nelson,CA,69.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
406,Khash,IR,82.27,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
407,Xacmaz,AZ,72.09,clear sky,41.4635,48.806,Ulduz Hotel
410,Zhicheng,CN,81.93,overcast clouds,30.2956,111.5047,Wangjiang Building
411,Asau,RO,70.72,few clouds,46.4333,26.4,Casa Mika Ciobanus
413,Sibolga,ID,77.13,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
414,Tezu,IN,78.71,clear sky,27.9167,96.1667,Circuit House
415,Alyangula,AU,65.61,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
420,Hamilton,US,89.51,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
421,Bhuj,IN,81.75,broken clouds,23.2667,69.6667,Regenta Resort Bhuj
422,Phrae,TH,72.99,light rain,18.0833,100.0,
423,Goderich,CA,77.32,overcast clouds,43.7501,-81.7165,Harmony Inn
424,Kyabe,TD,76.01,light rain,9.4515,18.9449,
425,Athabasca,CA,72.01,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
427,Ramapuram,IN,81.68,broken clouds,13.1167,79.2,Sri Annam Farms
432,Pithoro,PK,86.83,overcast clouds,25.5167,69.3833,Village Haji Muhammad Yousif Panhwar
433,San Jose,US,82.26,clear sky,37.3394,-121.895,The Westin San Jose
434,Slave Lake,CA,73.38,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
435,Atambua,ID,66.78,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
436,Kalmunai,LK,81.23,overcast clouds,7.4167,81.8167,VS Villa
437,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
439,San Andres,CO,87.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
440,Kimparana,ML,89.37,light rain,12.8347,-4.9244,
443,Isiolo,KE,70.75,overcast clouds,0.3546,37.5822,Gaddisa Hotel
444,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
445,Fort Frances,CA,84.16,clear sky,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
446,Tucupita,VE,83.37,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
448,Cap-Haitien,HT,82.47,few clouds,19.7578,-72.2042,Habitation Jouissant
449,Bilma,NE,81.37,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
450,Terra Santa,BR,89.56,overcast clouds,-2.1042,-56.4869,Hotel Sarah
451,Codajas,BR,87.8,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
453,Qui Nhon,VN,79.9,scattered clouds,13.7667,109.2333,Seagull Hotel
454,Veshenskaya,RU,70.32,clear sky,49.6303,41.7334,Kazachiy Kuren'. Muzey Sholokhova
455,Hof,DE,65.48,scattered clouds,50.3167,11.9167,Hotel Burghof
457,Miles City,US,88.77,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
459,Kaihua,CN,66.49,broken clouds,23.3687,104.28,Zhongyu Hotel
461,Krym,RU,79.45,clear sky,47.3003,39.5164,Частный дом
462,Wanning,CN,81.43,scattered clouds,18.8003,110.3967,Paradise Hotel
463,Bardiyah,LY,77.58,clear sky,31.7561,25.0865,بورتو بردية
464,Lovozero,RU,65.14,overcast clouds,68.005,35.0117,Country house Lovozero
465,Shingu,JP,73.15,overcast clouds,33.7333,135.9833,Shingu UI Hotel
466,Atasu,KZ,77.32,clear sky,48.6814,71.6433,Dostyk
468,Synya,RU,70.21,few clouds,65.3718,58.0387,
469,Luorong,CN,79.84,overcast clouds,24.4058,109.6086,荣立大酒店
470,Ambilobe,MG,67.35,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
473,Bom Jardim,BR,75.6,few clouds,-7.7958,-35.5872,Wilton Joaquim 8 Wilton
475,Samarai,PG,76.51,overcast clouds,-10.6167,150.6667,Nuli Sapi
476,Kemise,ET,72.99,light rain,10.7167,39.8667,Hussen Endris
478,Obuasi,GH,71.2,moderate rain,6.206,-1.6619,Mawuli Hotel
479,Negotin,RS,82.54,broken clouds,44.2264,22.5308,Хотел Београд
480,Pachino,IT,78.04,clear sky,36.7186,15.0907,Il Veliero
481,Pekan,MY,80.71,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
483,Pacific Grove,US,75.22,broken clouds,36.6177,-121.9166,Lovers Point Inn
484,Yazoo City,US,89.71,scattered clouds,32.8551,-90.4056,Hampton Inn Yazoo City
485,Kimbe,PG,75.22,light rain,-5.5502,150.1429,Kimbe Bay Hotel
488,Celmira,PA,81.91,overcast clouds,8.5433,-82.8028,La Posada
489,Balkhash,KZ,75.81,clear sky,46.844,74.9804,Family
492,Beloha,MG,65.01,clear sky,-25.1667,45.05,
493,Dondo,MZ,71.11,clear sky,-19.6094,34.7431,Pensao Casual
494,Bonanza,NI,88.93,overcast clouds,14.0289,-84.591,Edificio Administrativo HEMCO
496,Phangnga,TH,77.04,broken clouds,8.4509,98.5298,Sunimit Mansion
498,Asfi,MA,72.21,clear sky,32.2994,-9.2372,Hôtel Abda
499,Grimshaw,CA,65.82,broken clouds,56.1834,-117.6027,Coast Grimshaw Hotel & Suites
500,Ituango,CO,77.38,scattered clouds,7.1712,-75.764,HOTEL LA CASONA ITUANGO
502,Ransang,PH,78.78,broken clouds,8.9603,117.5828,Black and Crystal Sand Campsite
503,Izumo,JP,73.35,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
505,High Rock,BS,84.22,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
512,Northam,GB,67.24,overcast clouds,51.0333,-4.2167,Durrant House Hotel
514,Namatanai,PG,77.83,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
516,Lata,PT,79.07,scattered clouds,40.1629,-8.3327,Casa Maquia
519,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
520,Kilimatinde,TZ,69.89,overcast clouds,-5.85,34.95,
521,Canals,ES,89.2,clear sky,38.9625,-0.5844,Hostal Casa La Vuelta
523,Aljezur,PT,72.77,clear sky,37.3191,-8.8033,Amazigh Hostel
525,San Vicente,AR,71.92,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
528,Cicuco,CO,89.58,scattered clouds,9.2631,-74.6569,Hotel mi Racho
530,Luan,CH,75.83,clear sky,46.3592,6.9759,Hotel Appartement Castel Club Leysin Parc
531,Blitar,ID,71.64,few clouds,-8.0983,112.1681,Hotel Tugu Sri Lestari Blitar
532,La Mata,PA,85.51,overcast clouds,8.0833,-80.8833,Black Lion Inn
534,Labuhan,ID,77.4,broken clouds,-6.8844,112.2051,DoubleFAG
535,Kamaishi,JP,70.48,heavy intensity rain,39.2667,141.8833,Hotel Route Inn Kamaishi
536,Touros,BR,78.19,few clouds,-5.1989,-35.4608,INN NEW HORIZON
541,Khipro,PK,86.23,overcast clouds,25.8285,69.3772,Wali M Dars Hottle
547,Santa Isabel,BR,81.7,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
548,Banda Aceh,ID,80.06,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
550,Bandarbeyla,SO,79.0,overcast clouds,9.4942,50.8122,JABIR HOTEL
551,Sainte-Suzanne,RE,69.48,light rain,-20.9061,55.6089,Gites Ango
552,Wau,SS,70.99,overcast clouds,7.7029,27.9953,Universal Gab Hotel
553,Bunia,CD,71.37,overcast clouds,1.5667,30.25,Gold Star International Hotel
555,Gallup,US,88.56,clear sky,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
558,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
560,Saint-Francois,FR,80.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
561,Clinton,US,84.99,overcast clouds,42.587,-82.9199,River's Edge
562,Kapit,MY,73.44,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
563,Patnanungan,PH,82.51,overcast clouds,14.7833,122.1833,Laura Visah Transient House
566,Cravo Norte,CO,89.24,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
567,Chengde,CN,69.62,broken clouds,40.9725,117.9361,Super 8 Hotel
568,Eureka,US,70.2,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
569,Suratgarh,IN,88.3,overcast clouds,29.3167,73.9,Maharaja Hotel
570,Candelaria,PH,80.38,overcast clouds,13.9311,121.4233,Casa de Provincia
572,Mabaruma,GY,78.8,broken clouds,8.2,-59.7833,Monty Brooms Guest House
574,Alamosa,US,80.58,clear sky,37.4695,-105.87,Best Western Alamosa Inn
575,Longkou,CN,75.74,broken clouds,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
576,Kavieng,PG,81.1,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
577,Indramayu,ID,78.98,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
579,Pauini,BR,85.17,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
580,Ormara,PK,81.75,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
581,Sulangan,PH,83.62,overcast clouds,11.1373,123.7228,Maia's Beach Resort
584,Hearst,CA,68.25,overcast clouds,49.6835,-83.6665,Companion
586,Kiunga,PG,71.15,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
587,Bambanglipuro,ID,74.57,clear sky,-7.95,110.2833,Puri Brata
588,Arrecife,ES,76.98,few clouds,28.963,-13.5477,Hotel Lancelot
589,Gwadar,PK,83.23,overcast clouds,25.1216,62.3254,Sadaf Resort
590,Yanam,IN,78.28,light rain,16.7333,82.2167,The Regency Hotel
592,Kupang,ID,72.32,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
594,College,US,65.07,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
595,Tateyama,JP,74.1,moderate rain,34.9833,139.8667,Tateyama Seaside Hotel
596,Corinto,GR,83.89,clear sky,37.9407,22.9573,Ephira Hotel
598,Shaowu,CN,78.89,overcast clouds,27.3409,117.4831,Yijie Express Hotel
599,Greece,US,85.87,scattered clouds,43.2098,-77.6931,"Homewood Suites by Hilton Rochester/Greece, NY"
600,Turayf,SA,89.85,clear sky,31.6725,38.6637,Turaif
601,Santa Isabel Do Rio Negro,BR,83.55,overcast clouds,-0.4139,-65.0192,Hotel GSA
602,Acari,PE,69.12,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
604,Barcelos,PT,84.92,scattered clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
606,Pemba,MZ,75.9,few clouds,-12.974,40.5178,Guesthouse Samotina
608,Merauke,ID,74.17,overcast clouds,-8.4667,140.3333,
609,Matagami,CA,77.11,clear sky,49.7502,-77.6328,Motel Le Caribou
612,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
614,Itoman,JP,83.17,mist,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
616,Paracuru,BR,81.1,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
617,Vila,PT,79.7,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
619,Camabatela,AO,66.65,clear sky,-8.1881,15.375,Comércio e Prestação de Serviços
620,Nabire,ID,75.51,moderate rain,-3.3667,135.4833,Hotel Nusantara I
622,Mogadishu,SO,76.69,overcast clouds,2.0371,45.3438,Hotel Juba
623,Sayat,TM,85.87,clear sky,38.7839,63.8803,
626,Aktau,KZ,82.98,clear sky,43.65,51.2,Silk Way Hotel
627,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
628,Carcavelos,PT,83.44,clear sky,38.6911,-9.3222,Riviera Hotel
629,Rantepao,ID,66.24,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
630,Sinnamary,GF,80.13,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
631,Tarsus,TR,82.78,clear sky,36.9188,34.8784,Osmanli Marco Pasha Hotel
635,Nioro,GM,88.7,light rain,13.35,-15.75,
637,Sakaiminato,JP,73.38,few clouds,35.55,133.2333,Italian pasley
639,Abnub,EG,89.82,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
642,Lao Cai,VN,78.94,scattered clouds,22.4833,103.95,Legend Hotel
643,El Higo,MX,88.56,broken clouds,21.7667,-98.4667,La casa de Big Brother
644,Hanumangarh,IN,87.75,broken clouds,29.5833,74.3167,SPOT ON 66636 Cps Resorts
645,Tomatlan,MX,87.19,overcast clouds,19.9333,-105.25,El Salvial
646,Nouadhibou,MR,71.58,broken clouds,20.931,-17.0347,El Medina
648,Kikwit,CD,81.81,scattered clouds,-5.041,18.8162,HOTEL PLACE YALABA
651,Villefranche-Sur-Saone,FR,84.22,scattered clouds,45.9833,4.7167,Hôtel Restaurant Campanile Villefranche-sur-Saône
652,Chapleau,CA,69.89,overcast clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
653,La Rioja,ES,89.38,clear sky,42.25,-2.5,Casa Concejos
654,Miraflores,MX,69.03,overcast clouds,19.2167,-98.8083,Hotel Mansión
655,Carutapera,BR,82.29,overcast clouds,-1.195,-46.02,Lidera
656,Pamanukan,ID,75.79,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
659,Bonthe,SL,77.43,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
660,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
661,Aksu,CN,72.46,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
662,Gumdag,TM,83.68,clear sky,39.2061,54.5906,
663,Wenling,CN,80.71,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
664,Yarada,IN,80.92,light rain,17.65,83.2667,Yarada Jungle Beach Resorts
666,Lasa,IT,77.88,few clouds,46.6166,10.7002,Pension Feldgärtenhof
667,Talas,TR,68.67,clear sky,38.6908,35.5538,Fimaj Residence
668,Grand Gaube,MU,70.2,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
670,Chapada Dos Guimaraes,BR,87.46,few clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
671,Eirunepe,BR,84.65,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
672,Port Hawkesbury,CA,72.91,scattered clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
673,Ternate,ID,76.39,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
674,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
675,Vao,NC,69.22,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
676,Shelburne,CA,77.9,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
677,Merrill,US,69.57,overcast clouds,45.1805,-89.6835,Prairie Motel
678,Tual,ID,79.2,broken clouds,-5.6667,132.75,Grand Vilia Hotel
679,Abramovka,RU,65.91,clear sky,51.1886,41.0202,
681,Benghazi,LY,78.15,clear sky,32.1167,20.0667,Tibesti Hotel
682,Kijang,KR,76.73,clear sky,35.2442,129.2139,Samyang Beach Villa
686,Callaway,US,84.94,broken clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
687,Santa Maria,BR,65.5,broken clouds,-29.6842,-53.8069,Hotel Morotin
